source,target
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/2.0/xml/CanadianNAD83_LCC.xml,http://schemas.opengis.net/tms/2.0/xml/CanadianNAD83_LCC.xml
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/2.0/xml/CDB1GlobalGrid.xml,http://schemas.opengis.net/tms/2.0/xml/CDB1GlobalGrid.xml
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/2.0/xml/EuropeanETRS89_LAEAQuad.xml,http://schemas.opengis.net/tms/2.0/xml/EuropeanETRS89_LAEAQuad.xml
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/2.0/xml/GNOSISGlobalGrid.xml,http://schemas.opengis.net/tms/2.0/xml/GNOSISGlobalGrid.xml
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/2.0/xml/UPSAntarcticWGS84Quad.xml,http://schemas.opengis.net/tms/2.0/xml/UPSAntarcticWGS84Quad.xml
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/2.0/xml/UPSArcticWGS84Quad.xml,http://schemas.opengis.net/tms/2.0/xml/UPSArcticWGS84Quad.xml
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/2.0/xml/UTM01WGS84Quad.xml,http://schemas.opengis.net/tms/2.0/xml/UTM01WGS84Quad.xml
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/2.0/xml/UTM02WGS84Quad.xml,http://schemas.opengis.net/tms/2.0/xml/UTM02WGS84Quad.xml
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/2.0/xml/UTM03WGS84Quad.xml,http://schemas.opengis.net/tms/2.0/xml/UTM03WGS84Quad.xml
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/2.0/xml/UTM04WGS84Quad.xml,http://schemas.opengis.net/tms/2.0/xml/UTM04WGS84Quad.xml
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/2.0/xml/UTM05WGS84Quad.xml,http://schemas.opengis.net/tms/2.0/xml/UTM05WGS84Quad.xml
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/2.0/xml/UTM06WGS84Quad.xml,http://schemas.opengis.net/tms/2.0/xml/UTM06WGS84Quad.xml
